                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.2396,                0.90621,                 1.2281,                0.77737,                0.73301,                 0.7903,                 0.4667,                 1.0554,                 1.3132,                0.99141,               0.007426,               0.007426,               0.007426
                     54,                  1.231,                0.90237,                 1.2223,                0.77676,                0.72974,                0.78944,                0.46675,                 1.0566,                 1.3074,                0.99131,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.2368,                0.89956,                 1.2208,                0.77484,                0.73575,                0.79036,                0.46673,                 1.0535,                 1.2935,                0.99092,               0.007327,               0.007327,               0.007327
                     56,                 1.2306,                0.89564,                  1.222,                0.77073,                0.73214,                0.79013,                0.46795,                 1.0524,                 1.2937,                0.98848,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.2257,                0.89283,                 1.2237,                0.78004,                0.72812,                0.78984,                0.46749,                 1.0535,                 1.2873,                0.98994,               0.007228,               0.007228,               0.007228
                     58,                  1.218,                0.88412,                 1.2155,                0.76654,                0.73977,                0.79012,                0.46732,                 1.0525,                 1.2737,                0.99025,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.2172,                0.88405,                 1.2149,                0.76996,                0.74018,                 0.7911,                0.46775,                 1.0539,                 1.2853,                 0.9908,               0.007129,               0.007129,               0.007129
                     60,                 1.2226,                0.87579,                 1.2143,                 0.7752,                0.73645,                0.79193,                0.46827,                 1.0565,                 1.2972,                 0.9922,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.2091,                0.87146,                 1.2098,                0.77517,                0.74028,                0.79252,                0.46816,                 1.0571,                 1.3162,                0.99335,                0.00703,                0.00703,                0.00703
                     62,                 1.2062,                 0.8645,                  1.208,                0.77461,                0.74059,                0.79171,                0.46834,                 1.0558,                 1.3492,                0.99319,              0.0069805,              0.0069805,              0.0069805
                     63,                  1.207,                0.86286,                 1.2077,                0.77287,                0.74071,                0.79151,                0.46887,                 1.0548,                 1.3456,                 0.9932,               0.006931,               0.006931,               0.006931
                     64,                 1.1973,                0.85289,                 1.2001,                0.77262,                0.74588,                0.79212,                0.46948,                 1.0552,                 1.3493,                0.99392,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.2002,                0.84243,                 1.2024,                0.77868,                0.73719,                0.79161,                0.46911,                 1.0549,                 1.3508,                0.99397,               0.006832,               0.006832,               0.006832
                     66,                 1.1923,                0.84373,                 1.1975,                0.77545,                0.73972,                 0.7912,                0.46969,                  1.055,                 1.3443,                0.99394,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.193,                0.84126,                 1.1974,                0.77965,                0.73598,                0.79269,                0.46941,                 1.0537,                   1.35,                0.99392,               0.006733,               0.006733,               0.006733
                     68,                 1.1834,                0.83367,                 1.1959,                0.77351,                0.74245,                0.79203,                0.47037,                  1.053,                 1.3471,                0.99385,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.1907,                0.84111,                 1.1952,                0.77262,                0.74406,                0.79342,                0.47024,                 1.0531,                 1.3469,                0.99329,               0.006634,               0.006634,               0.006634
                     70,                 1.1809,                0.83345,                 1.1834,                0.77757,                0.74049,                0.79251,                0.47012,                 1.0522,                 1.3413,                0.99233,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.1802,                0.82374,                 1.1857,                0.77764,                0.74048,                0.79248,                0.46997,                 1.0518,                 1.3338,                0.99206,               0.006535,               0.006535,               0.006535
                     72,                 1.1778,                0.82637,                 1.1854,                0.77466,                0.74136,                  0.791,                0.46975,                 1.0517,                 1.3366,                0.99149,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.1799,                 0.8196,                 1.1847,                0.77579,                0.74048,                0.79212,                 0.4692,                 1.0518,                 1.3375,                0.99171,               0.006436,               0.006436,               0.006436
                     74,                 1.1695,                0.80571,                  1.179,                0.77349,                0.74253,                0.79156,                0.46939,                 1.0521,                 1.3324,                0.99238,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.1652,                0.80614,                 1.1784,                 0.7724,                0.74379,                0.79225,                0.46931,                 1.0515,                 1.3309,                 0.9929,               0.006337,               0.006337,               0.006337
                     76,                 1.1651,                 0.7999,                 1.1801,                 0.7734,                0.74404,                 0.7921,                0.46933,                 1.0518,                 1.3344,                0.99335,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.1533,                0.79894,                 1.1704,                 0.7783,                0.73881,                0.79218,                0.46964,                 1.0508,                 1.3313,                0.99273,               0.006238,               0.006238,               0.006238
                     78,                  1.157,                0.79681,                  1.176,                0.77676,                0.74062,                0.79168,                0.46934,                 1.0515,                 1.3328,                0.99346,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.1567,                 0.7907,                 1.1699,                0.77655,                0.74031,                0.79119,                0.46972,                 1.0514,                 1.3324,                0.99335,               0.006139,               0.006139,               0.006139
                     80,                 1.1443,                0.78059,                 1.1655,                0.77617,                0.74261,                0.79117,                0.46979,                 1.0521,                 1.3263,                0.99415,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.1457,                0.78446,                 1.1656,                0.77716,                0.74032,                0.79111,                0.46956,                 1.0527,                 1.3315,                0.99463,                0.00604,                0.00604,                0.00604
                     82,                 1.1396,                 0.7753,                 1.1595,                 0.7775,                0.74039,                0.79009,                0.46961,                 1.0523,                 1.3284,                0.99512,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.1373,                0.77656,                 1.1624,                0.77999,                0.73836,                0.79001,                0.46934,                 1.0522,                 1.3288,                0.99522,               0.005941,               0.005941,               0.005941
                     84,                 1.1386,                0.77183,                 1.1612,                0.77725,                0.74084,                0.78995,                0.46916,                 1.0527,                 1.3273,                0.99515,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.1361,                0.76784,                 1.1578,                0.77948,                0.73979,                0.78964,                0.46898,                 1.0525,                 1.3235,                0.99542,               0.005842,               0.005842,               0.005842
                     86,                 1.1325,                0.76064,                 1.1544,                0.77918,                 0.7387,                0.79078,                0.46973,                 1.0523,                 1.3239,                0.99535,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.1293,                0.76113,                 1.1527,                0.77721,                0.73964,                0.78988,                0.46911,                 1.0524,                 1.3145,                0.99525,               0.005743,               0.005743,               0.005743
                     88,                 1.1266,                0.75489,                 1.1561,                0.78144,                0.73652,                0.78983,                0.46938,                 1.0526,                 1.3144,                0.99537,              0.0056935,              0.0056935,              0.0056935
